index,country_of_provenance
1, United Kingdom
2, United States
3, United States
4, United States
5, United Kingdom
6, United States
7, United States
8, United Kingdom
9, United States
10, United Kingdom
11, Australia
12, United States
13, United States
14, United States
15, United States
16, United Kingdom
17, United Kingdom
18, United States
19, United States
20, United States
21, United Kingdom
22, Australia
23, United States
24, United States
25, Australia
26, United Kingdom
27, United States
28, United States
29, United Kingdom
30, United Kingdom
31, United Kingdom
32, United States
33, Australia
34, Australia
35, United Kingdom
36, United States
37, United States
38, United Kingdom
39, United Kingdom
40, United Kingdom
41, United States
42, United Kingdom
43, United Kingdom
44, United States
45, United Kingdom
46, United Kingdom
47, Japan
48, Canada
49, United States
50, Japan
51, United Kingdom
52, United States
53, United States
54, United States
55, United Kingdom
56, United Kingdom
57, United States
58, United States
59, United Kingdom
60, United Kingdom
