index,shipping_price
1,5.49 
2,2.39 
3,2.39 
4,10.81 
5,3.62 
6,9.50 
7,9.50 
8,4.83 
9,9.50 
10,3.62 
11,3.80 
12,19.05 
13,23.62 
14,0.99 
15,19.07 
16,12.12 
17,3.62 
18,16.87 
19,19.19 
20,36.11 
21,9.68 
22,12.92 
23,11.88 
24,18.25 
25,4.98 
26,9.68 
27,19.46 
28,24.03 
29,12.12 
30,15.75 
31,9.68 
32,19.99 
33,20.12 
34,10.30 
35,15.75 
36,19.58 
37,7.99 
38,12.12 
39,8.47 
40,8.47 
41,10.81 
42,8.47 
43,8.47 
44,24.23 
45,8.47 
46,12.12 
47,ee International Shipping
48,32.50 
49,7.99 
50,ee International Shipping
51,8.47 
52,29.87 
53,7.99 
54,7.99 
55,12.12 
56,12.12 
57,32.98 
58,23.71 
59,8.47 
60,15.75 
